year,energy_source,energy_type,energy_source_consumption
2018,other_renewable_consumption,low_carbon_consumption,1528.605
2018,solar_consumption,low_carbon_consumption,1448.367
2018,wind_consumption,low_carbon_consumption,3156.845
2019,biofuel_consumption,low_carbon_consumption,1101.949
2019,coal_consumption,fossil_fuel_consumption,43849.215
2019,gas_consumption,fossil_fuel_consumption,39292.468
2019,hydro_consumption,low_carbon_consumption,10455.127
2019,nuclear_consumption,low_carbon_consumption,6923.412
2019,oil_consumption,fossil_fuel_consumption,53619.925
2019,other_renewable_consumption,low_carbon_consumption,1614.027
2019,solar_consumption,low_carbon_consumption,1792.996
2019,wind_consumption,low_carbon_consumption,3540.051
